Species,Stranding_Day,Turtle_Number,Location,Stranding_ID_number,Tail_Length,Sex,Condition,Condition_Description,Flipper_Tag,PIT_Tag,Living_Tag,SCL_Tip,SCL_Notch,SCW,Anterior_depth,Plastron_length,Head_length,Head_width,Front_Flipper_Chord_Length,Front_Flipper_Claw_Length,Rear_Flipper_Chord_Length,Dorsal_Tail_Length,Tail_Vent_to_Tip_Length,Curved_Carapce_length_TIP,CCL_notch,Curved_carapace_Width,Barnacles,Weight,Date_Necropsied,Examiner_Affiliation,Necropsy_Description,Eyeses_Sunoken,Skeletal_Features_Prominoenot,Heavy_Epibiota,Leeches,Goosenoeck_Barnoacles,Head_Appendages_Epibiota,Carapace_Epibiota,Plastron_Epibiota,Muscle_Status,Fat_Status,Joint_Fluid,Coelomic_Fluid_Volume,Blood_Ino_Heart_Chambers,Heart_Weight,Liver_Weight,Spleen_Weight,Kidney_Weight,GOvarynads,Testes_Characterization,Testes_Length,Testes_Width,Epididymis_Characterization,Ovaries_Characterization,Ovary_Length,Oviduct_Characterization,Trachea_Foam_Froth,Trachea_Foam_Froth_Anoterior,Trachea_Foam_Froth_Posterior,Trachea_Foam_Froth_Amount,Trachea_Sanod_Sedimenot,Trachea_Bronchi_Findings,Brain_Weight
Chelonia mydas,3,112,"St. Joseph Bay, Florida",NME20100109_112,,Female,1,Fresh Dead,no,no,no,30.4,30,24.7,10.5,,8.3,,17.2,8.1,10.2,3.8,2,32,31.2,29,no,3.2,23-Jan-10,North Carolina Wildlife Resources Commission,External and Internal,no,no,no,no,no,0,5,0,Well muscled/no atrophy,Abundant/No Atrophy,"Blood-tinged, viscous",moderate,yes,22.2,73,3.4,,Ovary,,,,,all follicles <4 mm diameter,4.5,<3 mm diameter,no,,,,no,No Significant Findings,1.7
Chelonia mydas,3,114,"St. Joseph Bay, Florida",NME20100109_114,,Female,1,Fresh Dead,no,no,no,28.3,27.9,22.2,9.3,,7.5,,18,8,11.1,3.1,2.5,29.6,29,24.7,no,2.8,24-Jan-10,North Carolina State University College of Veterinary Medicine,External and Internal,no,no,no,no,no,0,1,0,Well muscled/no atrophy,Abundant/No Atrophy,No Significant Findings,45,yes,13,56,6,,Ovary,,,,,all follicles <4 mm diameter,6,<3 mm diameter,no,,,,,,1.4
Chelonia mydas,3,115,"St. Joseph Bay, Florida",NME20100109_115,0,Male,1,Fresh Dead,no,no,no,31.5,30.8,26.4,9.5,,7.9,,17.6,7.6,10.3,3.6,1.8,33.6,32.6,28.7,no,3.7,24-Jan-10,North Carolina Wildlife Resources Commission,External and Internal,no,no,no,no,no,0,1,0,Well muscled/no atrophy,Abundant/No Atrophy,No Significant Findings,copious,yes,27,98,12,,Testes,flat,4.4,0.5,,,,,yes,,yes,small,no,Other,2.3
Chelonia mydas,3,116,"St. Joseph Bay, Florida",NME20100109_116,0,Male,1,Fresh Dead,no,no,no,28.8,28.7,23.6,10.4,,9,,16.4,9.9,10.4,2.7,1.3,30.6,30.4,26.9,no,3,23-Jan-10,NMFS SEFSC SEFSC,External and Internal,yes,no,no,no,no,0,<1,0,Well muscled/no atrophy,Abundant/No Atrophy,Blood-tinged,,yes,14,77,3,,Testes,flat,3.8,0.7,,,,,yes,yes,yes,moderate,no,No Significant Findings,1.8
Chelonia mydas,3,118,"St. Joseph Bay, Florida",NME20100109_118,0,Female,1,Fresh Dead,no,no,no,25.6,25,20.8,9.2,,7.2,,15.8,7.7,8.9,3.3,2.2,26.4,26.2,22.3,no,2,24-Jan-10,North Carolina State University College of Veterinary Medicine,External and Internal,no,no,no,no,no,0,5,0,Well muscled/no atrophy,Mild/Moderate atrophy,No Significant Findings,12,yes,9.3,41.4,1.5,,Ovary,,,,,all follicles <4 mm diameter,3.7x0.3,<3 mm diameter,yes,,yes,small,no,No Significant Findings,1.7
Chelonia mydas,3,119,"St. Joseph Bay, Florida",NME20100109_119,0,Female,1,Fresh Dead,no,no,no,26.7,26,21.6,9.1,,7.1,,15.5,6.4,9.2,3,2.1,27.5,26.9,23.6,no,2.2,24-Jan-10,North Carolina Wildlife Resources Commission,External and Internal,no,no,no,no,no,0,<1,0,Well muscled/no atrophy,Mild/Moderate atrophy,No Significant Findings,copious,yes,7.2,41.1,2.6,,Ovary,,,,,all follicles <4 mm diameter,4.5,<3 mm diameter,yes,,yes,very small,no,No Significant Findings,2
Chelonia mydas,3,120,"St. Joseph Bay, Florida",NME20100109_120,,Male,1,Fresh Dead,no,no,no,30.1,29.3,24.8,10.2,,8.6,,16.9,8.8,10.6,3.9,1.8,31.2,30.2,28.2,no,3.2,24-Jan-10,NMFS SEFSC SEFSC,External and Internal,no,no,no,no,no,0,1,0,Well muscled/no atrophy,Mild/Moderate Atrophy,Blood-tinged,copious,yes,14.5,82.7,3.9,,Testes,flat,4.6,0.7,Not expanded from wall,,,,yes,yes,yes,copious,no,No Significant Findings,1.3
Chelonia mydas,3,121,"St. Joseph Bay, Florida",NME20100109_121,,Female,1,Fresh Dead,no,no,no,27.2,26.4,21.6,8.6,,6.9,,14.8,7.6,9.4,2.5,2,27.8,27.4,24.8,yes,2.2,24-Jan-10,North Carolina Wildlife Resources Commission,External and Internal,no,no,no,no,no,0,10,0,Well muscled/no atrophy,Mild/Moderate Atrophy,Blood-tinged,copious,yes,7.6,34.4,1.6,,Ovary,,,,,all follicles <4 mm diameter,3.5,<3 mm diameter,yes,yes,yes,small,no,No Significant Findings,1.8
Chelonia mydas,3,122,"St. Joseph Bay, Florida",NME20100109_122,,Female,2,Moderately Decomposed,no,no,no,32.3,31.8,27.4,11,,9.1,,18.2,9.4,10.9,3.7,2.2,33.2,32.4,29.9,no,4,24-Jan-10,North Carolina State University College of Veterinary Medicine,External and Internal,,no,no,,,0,1,0,Well muscled/no atrophy,Abundant/No Atrophy,Blood-tinged,20,yes,15.2,82,5.2,17.4,Ovary,,,,,all follicles <4 mm diameter,4.5,<3 mm diameter,no,,,,no,No Significant Findings,3.9
Chelonia mydas,3,123,"St. Joseph Bay, Florida",NME20100109_123,,Male,1,Fresh Dead,no,no,no,31.6,30.8,26,9.7,,8.1,,19.7,8.6,12.8,4.3,2.9,32.1,31.6,28.5,yes,3.6,24-Jan-10,NMFS SEFSC SEFSC,External and Internal,no,no,no,no,no,0,5,0,Well muscled/no atrophy,Mild/Moderate Atrophy,Blood-tinged,copious,yes,23.3,87.7,3.5,,Testes,ellipsoidal,5.3,0.7,Not expanded from wall,,,,yes,yes,yes,copious,no,No Significant Findings,2.1
Chelonia mydas,3,124,"St. Joseph Bay, Florida",NME20100109_124,0.1,Male,1,Fresh Dead,no,no,no,27.5,27.1,22.3,8.8,22.2,8.1,5.9,16.8,8.4,10.1,3.4,1.9,28.6,28.2,24.3,no,2.4,3-Feb-10,North Carolina State University College of Veterinary Medicine,External and Internal,yes (mild),yes,no,no,no,0,2,0,Well muscled/no atrophy,Abundant/No Atrophy,,10,yes,12.9,51.6,3.4,,Testes,flat,3.5,0.4,Not expanded from wall,,,,yes,,yes,small,no,No Significant Findings,1.3
Chelonia mydas,3,125,"St. Joseph Bay, Florida",NME20100109_125,0,Female,2,Moderately Decomposed,no,no,no,23.2,22.9,19.2,7.2,19.4,7.5,4.5,14,7.2,8.4,2.6,1.5,23.9,23.8,21.9,no,1.4,3-Feb-10,NMFS SEFSC SEFSC,External and Internal,no,no,no,no,no,5,5,0,Well muscled/no atrophy,Severe atrophy,Blood-tinged,~3,yes,7.2,29.6,0.8,L kidney 5.7 g; R kidney 8.1 g,Ovary,,,,,all follicles <4 mm diameter,3.3,<3 mm diameter,yes,yes,yes,moderate,no,No Significant Findings,1.5
Chelonia mydas,3,126,"St. Joseph Bay, Florida",NME20100109_126,0.6,Female,2,Moderately Decomposed,no,no,no,39.9,38.8,30.8,13.9,32.9,10.4,6.4,18.8,10,13.2,4.5,3.1,41.4,40.5,35.5,no,7.2,3-Feb-10,North Carolina State University College of Veterinary Medicine,External and Internal,no,no,no,no,no,0,15,0,Well muscled/no atrophy,Abundant/No Atrophy,No Significant Findings,30,yes,21.2,175.9,10.2,41.6,Ovary,,,,,all follicles <4 mm diameter,5,<3 mm diameter,yes,,yes,small,no,No Significant Findings,3
Chelonia mydas,3,127,"St. Joseph Bay, Florida",NME20100109_127,,Female,1,Fresh Dead,no,no,no,35.4,34.7,28.9,12.3,,9.6,,19.6,9.6,12.1,3.2,2,37.4,36.7,32.5,no,5.4,23-Jan-10,North Carolina Wildlife Resources Commission,External and Internal,?,no,no,no,no,0,1,,Well muscled/no atrophy,Abundant/No Atrophy,"Blood-tinged, viscous",copious,yes,18.4,127.1,8.6,,Ovary,,,,,all follicles <4 mm diameter,4,<3 mm diameter,yes,yes,yes,small,no,No Significant Findings,.
Chelonia mydas,3,128,"St. Joseph Bay, Florida",NME20100109_128,0,Female,,,no,no,no,23.1,22.8,18.3,8.7,18.7,6.7,4.2,14.1,6.9,8.6,2.6,1.7,24.1,23.7,20.6,no,1.4,3-Feb-10,North Carolina State University College of Veterinary Medicine,External and Internal,no,no,no,no,no,0,0,0,Well muscled/no atrophy,Abundant/No Atrophy,No Significant Findings,10,yes,5.6,22.4,1.2,5.3,Ovary,,,,,all follicles <4 mm diameter,3,<3 mm diameter,yes,yes,yes,small,no,No Significant Findings,1.1
Chelonia mydas,3,129,"St. Joseph Bay, Florida",NME20100109_129,0.6,Male,2,Moderately Decomposed,no,no,no,34.5,33.6,27.7,12.4,26.9,9.7,6,19.6,9.6,12,4.6,3.1,36.5,35.9,30.9,yes,4.8,3-Feb-10,NMFS SEFSC SEFSC,External and Internal,no,no,no,no,no,0,10,0,Well muscled/no atrophy,Mild/moderate atrophy,Blood-tinged,,yes,18.6,106,9.7,22.7,Testes,ellipsoidal,5.5,0.9,Not expanded from wall,,,,yes,,yes,small,no,No Significant Findings,2.9
Chelonia mydas,3,131,"St. Joseph Bay, Florida",NME20100109_131,,Female,1,Fresh Dead,no,no,no,24.2,23.8,20.6,8,,7.6,,14.5,7.5,8.7,2.9,1.5,25.5,25.1,22.7,no,1.8,22-Jan-10,NMFS SEFSC SEFSC,External and Internal,yes,no,no,no,no,0,1,0,Well muscled/no atrophy,Abundant/No Atrophy,No Significant Findings,,yes,7,38,2,,Ovary,,,,,all follicles <4 mm diameter,3.4,<3 mm diameter,yes,yes,yes,small,no,No Significant Findings,<1
Chelonia mydas,3,132,"St. Joseph Bay, Florida",NME20100109_132,,Female,1,Fresh Dead,no,no,no,26.6,26.3,20.4,8.7,,7.4,,15.2,8,9,3.1,2,28.8,28.6,22.9,no,2,22-Jan-10,South Carolina Aquarium,External and Internal,yes,no,no,no,no,0,1,<1,Well muscled/no atrophy,Mild/Moderate Atrophy,No Significant Findings,50,yes,12.2,47.3,2.3,13.4,Ovary,,,,,all follicles <4 mm diameter,4,<3 mm diameter,no,,,,no,No Significant Findings,0.6
Chelonia mydas,3,133,"St. Joseph Bay, Florida",NME20100109_133,,Female,1,Fresh Dead,no,no,no,29.3,29.2,23.7,9.4,,8.2,,15.5,8.4,9.6,3.6,2.1,30.9,30.4,26.2,no,2.8,22-Jan-10,,External and Internal,,no,no,no,no,0,1,0,Well muscled/no atrophy,Mild/Moderate Atrophy,No Significant Findings,250,yes,9,62,3,,Ovary,,,,,all follicles <4 mm diameter,6.2 x 0.9,<3 mm diameter,yes,yes,,moderate,,,2
Chelonia mydas,3,134,"St. Joseph Bay, Florida",NME20100109_134,0,Female,,,no,no,no,23.5,23.4,19.2,8.7,,6.8,,14,7.4,8.2,2.5,1.9,23.9,23.8,21.6,yes,1,22-Jan-10,North Carolina Wildlife Resources Commission,External and Internal,no,no,no,no,no,<1,10,0,Well muscled/no atrophy,Mild/Moderate atrophy,Blood-tinged,20,yes,7.1,33.1,0.8,,Ovary,,,,,all follicles <4 mm diameter,3.5,<3 mm diameter,no,,,,no,No Significant Findings,2
Chelonia mydas,3,135,"St. Joseph Bay, Florida",NME20100109_135,,Female,1,Fresh Dead,no,no,no,32.6,32,25.6,11,,9.2,,16.7,8.2,11.2,4.4,2.5,34.1,33.5,28,no,3.8,22-Jan-10,North Carolina State University College of Veterinary Medicine,External and Internal,yes (mild),no,no,no,no,0,2,0,Well muscled/no atrophy,Abundant/No Atrophy,No Significant Findings,25,yes,16.3,106.4,4.6,,Ovary,,,,,all follicles <4 mm diameter,6.4 x 1.0,<3 mm diameter,yes,yes,yes,small,no,No Significant Findings,2
Chelonia mydas,3,136,"St. Joseph Bay, Florida",NME20100109_136,,Female,1,Fresh Dead,no,no,no,27.3,26.9,22.3,9.9,,8,,15.9,8,9.1,2.2,2.1,28.7,28.2,24.7,no,2.4,22-Jan-10,NMFS SEFSC SEFSC,External and Internal,no,no,no,no,no,0,0,0,Well muscled/no atrophy,Mild/Moderate Atrophy,Blood-tinged,copious,yes,8,44,1,,Ovary,,,,,all follicles <4 mm diameter,5.2,<3 mm diameter,no,,,,no,No Significant Findings,2.6
Chelonia mydas,3,137,"St. Joseph Bay, Florida",NME20100109_137,0,Female,1,Fresh Dead,no,no,no,28.4,27.8,22.3,9.6,,7.2,,15.9,7.5,9.5,3,1.5,29.5,29,24.6,yes,2.8,24-Jan-10,North Carolina State University College of Veterinary Medicine,External and Internal,no,no,no,no,no,0,10,0,Well muscled/no atrophy,Abundant/No Atrophy,Blood-tinged,20,,11.1,50.1,2.4,11.7,Ovary,,,,,all follicles <4 mm diameter,3.5,<3 mm diameter,yes,yes,yes,moderate,no,No Significant Findings,2.1
Chelonia mydas,3,138,"St. Joseph Bay, Florida",NME20100109_138,0,Male,1,Fresh Dead,no,no,no,36.5,36.2,31,12.3,,10.2,,20.9,9.9,12.7,4.1,3,38.5,38.2,34.2,yes,6.2,22-Jan-10,NMFS SEFSC SEFSC,External and Internal,no,no,no,no,no,0,3,0,Well muscled/no atrophy,Mild/Moderate Atrophy,Blood-tinged,,yes,30,148.8,7,,Testes,ellipsoidal,6.2,0.9,Not expanded from wall,,,,yes,yes,yes,moderate,no,No Significant Findings,3
Chelonia mydas,3,139,"St. Joseph Bay, Florida",NME20100109_139,0,Female,1,Fresh Dead,no,no,no,24.8,24.4,18.6,8.7,,6.9,,14.2,7.5,9.1,3,1.8,26.1,25.6,21.7,yes,1.8,24-Jan-10,North Carolina Wildlife Resources Commission,External and Internal,no,no,no,no,no,0,10,0,Well muscled/no atrophy,Abundant/No Atrophy,"No Significant Findings, viscous",copious,yes,9.5,54,2.4,,Ovary,,,,,all follicles <4 mm diameter,3,<3 mm diameter,yes,,yes,small,no,No Significant Findings,2.2
Chelonia mydas,3,140,"St. Joseph Bay, Florida",NME20100109_140,0,Male,2,Moderately Decomposed,no,no,no,41.3,40.7,33.2,13.1,34,10.9,6.9,21.1,11.3,13.9,3.5,2.4,43.7,43.1,37.2,no,7.4,23-Feb-10,NMFS SEFSC SEFSC,External and Internal,no,no,no,,no,0,5,0,Well muscled/no atrophy,"Abundant/No Atrophy, somewhat autolyzed","Blood-tinged, viscous",copious,yes,20.4,173.6,10.9,42.8,Testes,ellipsoidal,5.7,0.8,Not expanded from wall,,,,yes,yes,yes,moderate,no,No Significant Findings,2.5
Chelonia mydas,3,141,"St. Joseph Bay, Florida",NME20100109_141,No,Female,2,Moderately Decomposed,no,no,no,27.1,27,21.7,9.1,23.3,8.5,5,16.2,8.1,9.9,2.9,2.4,28.4,28,23.4,no,2,23-Feb-10,North Carolina Wildlife Resources Commission,External and Internal,no,no,no,no,no,0,<1,0,Well muscled/no atrophy,Abundant/No atrophy,Blood-tinged,20,yes,9.1,58.3,3.2,12.2,Ovary,,,,,all follicles <4 mm diameter,4,<3 mm diameter,no,,,,no,No Significant Findings,1.7
Chelonia mydas,3,142,"St. Joseph Bay, Florida",NME20100109_142,0.2,Female,"2, almost 3",Nearly Severely Decomposed,no,no,no,28.7,28.2,23.4,8.9,24.1,8,5,15.3,7.8,9.5,2.9,2,30.2,29.4,25.9,no,2,.,North Carolina State University College of Veterinary Medicine,External and Internal,no,yes,no,,,0,10,0,Well muscled/no atrophy,Severe atrophy,"Blood-tinged, viscous",20,,11.8,56.5,5,12.7,Ovary,,,,,all follicles <4 mm diameter,5,<3 mm diameter,no,,,,no,,1.5
Chelonia mydas,3,143,"St. Joseph Bay, Florida",NME20100109_143,0.6,Male,,,no,no,no,30.5,29.6,25.3,10.4,25.4,8.7,5.5,17.5,9.1,11.3,3.4,2.6,32.3,31.5,29.2,yes,2.6,23-Feb-10,North Carolina State University College of Veterinary Medicine,External and Internal,no,no,no,no,no,0,10,0,Well muscled/no atrophy,Mild/Moderate atrophy,Blood-tinged,20,,9.6,66.7,3.6,15.1,Testes,flat,4.6,0.6,Not expanded from wall,,,,no,,,,no,,1.4
Chelonia mydas,3,144,"St. Joseph Bay, Florida",NME20100109_144,no,Female,2,Moderately Decomposed,no,no,no,30.6,30.2,25.7,10.3,25.2,8.9,5.4,17.1,8.4,10.4,2.8,2.1,32.4,31.6,27.7,no,3,23-Feb-10,NMFS SEFSC SEFSC,External and Internal,yes,yes,no,no,no,0,2,0,Well muscled/no atrophy,Severe atrophy,"Blood-tinged, viscous",copious,yes,9,75.5,4,18.9,Ovary,,,,,all follicles <4 mm diameter,6.2,<3 mm diameter,yes,,yes,small,no,No Significant Findings,1.4
Chelonia mydas,3,145,"St. Joseph Bay, Florida",NME20100109_145,no,Female,,,no,no,no,26.4,26.1,21.2,9,22,7.4,4.7,14.4,7.5,8.9,3,2.2,27.5,27.1,22.9,no,2.2,23-Feb-10,North Carolina State University College of Veterinary Medicine,External and Internal,no,no,no,no,no,0,<1,0,Well muscled/no atrophy,Mild/Moderate atrophy,Blood-tinged (mild),10,,6.4,34.6,1.4,7.1,Ovary,,,,,all follicles <4 mm diameter,5,<3 mm diameter,yes,,yes,small,no,,.
Chelonia mydas,3,146,"St. Joseph Bay, Florida",NME20100109_146,0.2,Female,,,no,no,no,24.6,24.1,19.3,8.7,20.5,7.4,4.5,13.8,7.2,8.4,2.6,2.1,26.1,25.4,21.6,no,1,23-Feb-10,North Carolina State University College of Veterinary Medicine,External and Internal,no,no,no,no,no,3,5,0,Well muscled/no atrophy,Mild/moderate atrophy,Blood-tinged,4,,5.4,24.9,1.4,6.9,Ovary,,,,,all follicles <4 mm diameter,4,<3 mm diameter,yes,yes,,small,no,No Significant Findings,1.5
Chelonia mydas,3,148,"St. Joseph Bay, Florida",NME20100109_148,0.3,Female,,,no,no,no,29.8,29.4,25,10.6,24.6,8.2,5.6,15.3,8.1,10.1,3.4,2.6,31.8,31.2,27.8,no,3,23-Feb-10,North Carolina State University College of Veterinary Medicine,External and Internal,no,no,no,no,no,0,2,0,Well muscled/no atrophy,Mild/moderate atrophy,Blood-tinged,12,,7.4,74.6,5.1,14.5,Ovary,,,,,all follicles <4 mm diameter,5.8,<3 mm diameter,yes,yes,yes,small,no,No Significant Findings,1.6
Chelonia mydas,3,149,"St. Joseph Bay, Florida",NME20100109_149,NA,Female,2,Moderately Decomposed,no,no,no,23,22.7,18.1,7.2,19.4,7,4.2,13.5,7.3,8.1,2.8,2,23.8,23.5,19.3,no,1,23-Feb-10,North Carolina State University College of Veterinary Medicine,External and Internal,yes (moderatelyes),no,no,,no,0,5,0,Well-muscled/no atrophy,Mild/Moderate Atrophy,Blood-tinged,25,yes,4.6,25.1,1.2,6.5,Ovary,,,,,all follicles <4 mm diameter,3,<3 mm diameter,no,,,,no,,0.8
Chelonia mydas,3,150,"St. Joseph Bay, Florida",NME20100109_150,0.3,Male,2,Moderately Decomposed,no,no,no,32.5,31.8,26,10.4,9.2,5.7,18,8.9,11.1,26.7,3.5,2,33.8,33.1,28.6,no,4,18-Feb-10,North Carolina State University College of Veterinary Medicine,External and Internal,no,no,no,no,no,0,1,1,Well-muscled/no atrophy,Abundant/No atrophy,"Blood-tinged, viscous",40,yes,10.8,82.9,4.9,23.7,Testes,flat,4.5,0.7,Distinct ridge,,,,no,,,,no,,2.1
Chelonia mydas,3,151,"St. Joseph Bay, Florida",NME20100109_151,1.4,Male,2,Moderately Decomposed,no,no,no,32.8,32.3,25.2,8.5,27.1,9.4,5.8,18.3,9.4,11.3,3.9,2.2,33.7,33.1,27.2,no,3.4,18-Feb-10,North Carolina State University College of Veterinary Medicine,External and Internal,no,yes,no,no,no,2,30,1,Mild/Moderate Atrophy,Mild/Moderate Atrophy,"Blood-tinged, viscous",30,yes,11,82.1,5.9,15.3,Testes,flat,5,0.9,Not expanded from wall,,,,no,,,,no,No Significant Findings,2.6
Chelonia mydas,3,152,"St. Joseph Bay, Florida",NME20100109_152,0,Female,,,no,no,no,38.3,37.5,31.6,12,30.7,9.9,6.1,21.6,10.3,12.7,4.1,2.9,39.9,39.3,35.1,no,6.4,18-Feb-10,NMFS SEFSC SEFSC,External and Internal,no,yes (somewhat),no,no,no,0,5,0,Well muscled/no atrophy,Mild/Moderate Atrophy,Blood-tinged,copious,yes,20.7,128.8,11.7,30,Ovary,,,,,all follicles <4 mm diameter,6.8,<3 mm diameter,yes,,yes,moderate,no,No Significant Findings,1.7
Chelonia mydas,3,153,"St. Joseph Bay, Florida",NME20100109_153,0.3,Female,2,Moderately Decomposed,no,no,no,24.8,24.4,20.1,8.1,20.9,7.4,4.6,14.9,7.5,8.7,2.7,1.7,25.7,25.2,21.7,no,1.8,18-Feb-10,NMFS SEFSC SEFSC,External and Internal,no,no,no,no,no,0,3,0,Well muscled/no atrophy,Mild/Moderate Atrophy,"Blood-tinged, viscous",,yes,6.8,34.4,0.9,7.4,Ovary,,,,,all follicles <4 mm diameter,4.4,<3 mm diameter,yes,yes,yes,small,no,No Significant Findings,0.9
Chelonia mydas,3,154,"St. Joseph Bay, Florida",NME20100109_154,0,Female,,,no,no,no,31.8,31,26,11,26.3,8.8,5.5,17.7,8.8,10.8,3,2,33.5,32.6,29.2,yes,3.8,18-Feb-10,North Carolina State University College of Veterinary Medicine,External and Internal,no,no,no,no,no,0,20,0,Well muscled/no atrophy,Mild/Moderate Atrophy,Blood-tinged,30,yes,12.4,71.4,4.2,14.6,Ovary,,,,,all follicles <4 mm diameter,4.5,<3 mm diameter,yes,yes,yes,small,no,,2.3
Chelonia mydas,3,155,"St. Joseph Bay, Florida",NME20100109_155,0,Female,,,no,no,no,27.2,26.9,21.5,8.9,23.3,8.2,5,16.2,7.8,9.2,2.5,1.4,28.3,28.2,23.8,no,2.6,18-Feb-10,North Carolina State University College of Veterinary Medicine,External and Internal,no,no,no,no,no,0,0,0,Well muscled/no atrophy,Mild/Moderate Atrophy,Blood-tinged,6,yes,6.5,47.8,2.6,8.6,Ovary,,,,,all follicles <4 mm diameter,5.2,<3 mm diameter,no,,,,no,No Significant Findings,2.5
Chelonia mydas,3,156,"St. Joseph Bay, Florida",NME20100109_156,0,Female,,,no,no,no,22.4,22.2,18.2,7.9,18.6,6.8,4.5,13.1,7.1,7.9,2.3,1.5,23.4,23,20,no,1.2,18-Feb-10,North Carolina State University College of Veterinary Medicine,External and Internal,yes (mild),no,no,no,no,0,0,0,Well muscled/no atrophy,Mild/Moderate Atrophy,No Significant Findings,2,yes,7.6,22.6,0.4,5.6,Ovary,,,,,all follicles <4 mm diameter,3.1,<3 mm diameter,no,,,,no,,1.4
Chelonia mydas,3,6?,"St. Joseph Bay, Florida",NME20100109_6?,,Female,1,Fresh Dead,no,no,no,30.5,30.3,25.7,9.6,,8.7,,17.2,8.8,10.8,3.4,2.2,31.9,31.4,28,yes (CCW),3.4,24-Jan-10,NMFS SEFSC SEFSC,External and Internal,,no,no,no,no,0,5,0,W/M,Mild/Moderate Atrophy,Blood-tinged,copious,yes,14,65,4,,Ovary,,,,,all follicles <4 mm diameter,5.4,<3 mm diameter,yes,yes,yes,copious,no,No Significant Findings,.
Chelonia mydas,4,1,"St. Joseph Bay, Florida",NME20100110_001,,Female,2,Moderately Decomposed,no,no,no,63.5,63.2,51.2,20.9,52.7,14.9,9.7,30.3,13.8,20.1,7.3,5.2,66.8,66.4,59.5,no,31.2,10-Feb-10,North Carolina State University College of Veterinary Medicine,External and Internal,no,no,no,no,no,0,3,0,Well muscled/no atrophy,Mild/Moderate Atrophy,"Blood-tinged, viscous",30,yes,83.4,674,43,142.3,Ovary,,,,,all follicles <4 mm diameter,13,<3 mm diameter,no,,,,no,No Significant Findings,5
Chelonia mydas,4,2,"St. Joseph Bay, Florida",NME20100110_002,2.1,Female,1,Fresh Dead,no,no,no,56.8,56.6,46.9,18.6,,12.8,,27.6,13,20.4,6.6,5.1,59.4,58.7,53.3,no,24,24-Jan-10,North Carolina State University College of Veterinary Medicine,External and Internal,no,no,no,no,no,1,1,0,Well muscled/no atrophy,Mild/Moderate atrophy,Cloudy/solid material,2000,yes,69.3,579.4,37.8,,Ovary,,,,,all follicles <4 mm diameter,12.8 x 1.9 x 1.0,<3 mm diameter,yes,,yes,small,no,No Significant Findings,4.9
Chelonia mydas,4,3,"St. Joseph Bay, Florida",NME20100110_003,,Female,1,Fresh Dead,no,no,no,55,54.3,42.6,16.5,,12.4,,27.6,13.3,17.7,4.8,3.2,57.2,56.6,47.6,no,17.8,22-Jan-10,South Carolina Aquarium,External and Internal,no,no,no,no,no,1,9,0,Well muscled/no atrophy,Abundant/no atrophy,Blood-tinged,Frozen,yes,140,433,47,81,Ovary,,,,,all follicles <4 mm diameter,8.2,<3 mm diameter,,,,,no,,1
Chelonia mydas,4,8,"St. Joseph Bay, Florida",NME20100110_008,,Female,1,Fresh Dead,no,no,no,40.8,40.2,34.4,13.4,,9.8,,22.2,11.4,14.3,4.6,2.8,42.8,41.8,37.5,no,8.4,22-Jan-10,,External and Internal,no,no,no,no,no,0,0,0,Well muscled/no atrophy,Mild/Moderate Atorphy,,60,yes,48,81,16,,Ovary,,,,,all follicles <4 mm diameter,9.5 x 5,<3 mm diameter,yes,,yes,small,no,No Significant Findings,3.6
Chelonia mydas,4,10,"St. Joseph Bay, Florida",NME20100110_010,0.2,Female,2,Moderately Decomposed,no,no,no,32.4,31.7,27.4,10.8,25.8,9,5.8,18.9,9.8,11.1,3.3,1.8,33.8,33.1,30.1,no,4.4,19-Feb-10,NMFS SEFSC SEFSC,External and Internal,no,,no,no,no,0,5,0,Well muscled/no atrophy,Severe atrophy,Blood-tinged,copious,yes,16.7,80,2.7,23.6,Ovary,,,,,all follicles <4 mm diameter,4.8,<3 mm diameter,yes,,yes,small,no,No Significant Findings,1.8
Chelonia mydas,4,11,"St. Joseph Bay, Florida",NME20100110_011,0,Female,,,no,no,no,34,33.6,28,11.6,28.7,8.8,5.8,19.4,9.8,10.5,3.3,1.9,35.7,35.2,31.5,no,5.2,19-Feb-10,,External and Internal,no,no,no,no,no,0,10,0,Well muscled/no atrophy,Abundant/no atrophy,Blood-tinged,15,,15.5,109.3,4.7,22.2,Ovary,,,,,all follicles <4 mm diameter,5.2,<3 mm diameter,yes,yes,yes,small,no,,1.3
Chelonia mydas,4,12,"St. Joseph Bay, Florida",NME20100110_012,0,Female,2,Moderately Decomposed,no,no,no,37,36.4,30.2,12.1,29.9,9.3,5.9,20,10.4,12.2,3.9,2.3,39,38.4,34.7,no,6,19-Feb-10,North Carolina Wildlife Resources Commission,External and Internal,no,no,no,no,no,0,10,0,Well muscled/no atrophy,Abundant/No atrophy,No Significant Findings,copious,yes,25.2,142.3,15.7,35.2,Ovary,,,,,all follicles <4 mm diameter,6,<3 mm diameter,yes,yes,yes,small,no,No Significant Findings,1.8
